date,so2,no2,rspm,spm,AQI
2006-12-31,12.133802816901412,31.553521126760554,348.0,373.59420289855075,373.59420289855075
2007-12-31,13.42018348623853,32.48715596330277,467.0,397.9238095238095,467.0
2008-12-31,14.668548387096777,34.38870967741935,462.0,430.6694214876033,462.0
2009-12-31,15.333333333333336,36.03492063492063,165.36,476.86842105263156,476.86842105263156
2010-12-31,14.069767441860465,35.51162790697674,219.6860465116279,419.76396374064876,419.76396374064876
2011-12-31,14.38421052631579,36.138815789473696,212.29605263157896,419.76396374064876,419.76396374064876
2012-12-31,14.935483870967742,39.11290322580645,202.3548387096774,419.76396374064876,419.76396374064876
2013-12-31,12.847682119205299,39.59602649006622,180.92156862745097,419.76396374064876,419.76396374064876
2014-12-31,13.396103896103897,40.44155844155844,190.1764705882353,419.76396374064876,419.76396374064876
2015-12-31,12.803571428571429,36.11904761904762,176.97619047619048,419.76396374064876,419.76396374064876
