date,so2,no2,rspm,spm,AQI
2005-05-31,10.2,10.3,133.0,280.0,280.0
2005-06-30,8.829848785289261,9.531981686630228,143.74150404702667,318.3016091228155,318.3016091228155
2005-07-31,7.753282162927141,8.912127367234488,151.77733718599956,348.78510241786256,348.78510241786256
2005-08-31,7.0215334187510825,8.468886252330885,156.69922434688735,370.02466390675426,370.02466390675426
2005-09-30,6.64170202068294,8.208102532507741,158.4974496223065,381.77762392968606,381.77762392968606
2005-10-31,6.588465875518166,8.112390626443512,157.29189469728493,384.82751315485314,384.82751315485314
2005-11-30,6.865259573267394,8.187925495819764,153.16033730892082,378.9775645354706,378.9775645354706
2005-12-31,7.490536027113905,8.439742798594908,145.82734029798988,363.83778149691295,363.83778149691295
2006-01-31,8.46063035914648,8.868173305862195,135.38039730897384,339.45406665220014,339.45406665220014
2006-02-28,9.63322291646798,9.40694561306148,123.26794580807457,309.4847095688547,309.4847095688547
2006-03-31,11.259583532790156,10.171510928878323,106.89446047367079,267.5077051575885,267.5077051575885
2006-04-30,13.161793451333207,11.07957214201045,88.08426075364648,218.0833433416576,218.0833433416576
2006-05-31,15.466666666666669,12.191666666666668,65.58333333333333,157.91666666666666,157.91666666666666
2006-06-30,17.11111111111111,13.122222222222222,45.111111111111114,102.11111111111111,102.11111111111111
2006-07-31,14.333333333333332,12.560000000000002,47.05555555555556,105.05555555555556,105.05555555555556
2006-08-31,15.2,12.9,46.0,105.0,105.0
2006-09-30,10.342105263157896,10.615789473684211,43.23809523809524,101.28571428571429,101.28571428571429
2006-10-31,11.82,11.5,50.95,114.25,114.25
2006-11-30,16.976,14.908,62.04,135.2,135.2
2006-12-31,17.133333333333336,13.955555555555556,68.11111111111111,148.77777777777777,148.77777777777777
2007-01-31,15.99583333333333,16.924999999999997,87.47826086956522,188.75,188.75
2007-02-28,16.42173913043478,18.382608695652177,115.26086956521739,256.5652173913044,256.5652173913044
2007-03-31,13.570833333333333,14.995833333333335,117.33333333333333,251.33333333333334,251.33333333333334
2007-04-30,11.600000000000003,12.843478260869567,116.8695652173913,248.04347826086956,248.04347826086956
2007-05-31,13.950000000000003,13.704761904761906,120.14285714285714,247.04761904761904,247.04761904761904
2007-06-30,14.128571428571428,13.32380952380952,126.57142857142857,266.3809523809524,266.3809523809524
2007-07-31,8.207142857142857,9.635714285714284,72.93333333333334,158.93333333333334,158.93333333333334
2007-08-31,7.26111111111111,9.200000000000001,67.11111111111111,146.16666666666666,146.16666666666666
2007-09-30,7.442857142857143,9.459999999999999,52.1,115.35,115.35
2007-10-31,11.108695652173912,11.482608695652175,102.0,215.7391304347826,215.7391304347826
2007-11-30,12.280000000000003,13.431999999999995,143.12,300.0,300.0
2007-12-31,11.492000000000003,13.371999999999996,153.56,319.0,319.0
2008-01-31,11.999999999999998,13.225,148.55,306.6,306.6
2008-02-29,12.038095238095238,13.152380952380955,142.57142857142858,296.95238095238096,296.95238095238096
2008-03-31,11.12,12.176000000000004,108.28,225.0,225.0
2008-04-30,11.524000000000001,12.495999999999999,96.16,202.68,202.68
2008-05-31,11.625925925925923,12.592592592592595,82.03703703703704,173.85185185185185,173.85185185185185
2008-06-30,11.071428571428571,12.047619047619047,86.14285714285714,183.57142857142858,183.57142857142858
2008-07-31,9.80625,10.756249999999998,81.1875,172.875,172.875
2008-08-31,10.35625,11.3625,59.714285714285715,129.04761904761904,129.04761904761904
2008-09-30,12.9375,13.55,120.5,251.125,251.125
2008-10-31,12.254166666666665,13.299999999999999,117.44,246.16,246.16
2008-11-30,11.648,12.628000000000004,107.08,224.68,224.68
2008-12-31,11.584615384615383,12.734615384615383,119.38461538461539,248.92307692307693,248.92307692307693
2009-01-31,11.986956521739133,13.004347826086954,114.95652173913044,222.43478260869566,222.43478260869566
2009-02-28,11.057894736842107,12.221052631578948,118.94736842105263,225.05263157894737,225.05263157894737
2009-03-31,10.852941176470589,11.84705882352941,84.05555555555556,166.94444444444446,166.94444444444446
2009-04-30,11.204761904761906,12.20952380952381,82.91304347826087,165.56521739130434,165.56521739130434
2009-05-31,11.544,12.531999999999998,87.92307692307692,177.80769230769232,177.80769230769232
2009-06-30,10.564705882352941,11.605882352941176,75.57894736842105,149.47368421052633,149.47368421052633
2009-07-31,8.5125,9.71875,48.333333333333336,98.33333333333333,98.33333333333333
