date,so2,no2,rspm,spm,AQI
1988-07-31,7.55,18.4,112.56890419271619,146.625510508998,146.625510508998
1988-08-31,7.800000000000001,26.7,112.56890419271619,149.84836735081487,149.84836735081487
1988-09-30,6.35,48.7,112.56890419271619,159.5595132591499,159.5595132591499
1988-10-31,11.899999999999999,51.85,112.56890419271619,172.3293855385251,172.3293855385251
1988-11-30,8.600000000000001,48.25,112.56890419271619,183.26036534780735,183.26036534780735
1988-12-31,17.35,38.45,112.56890419271619,193.08008900848722,193.08008900848722
1989-01-31,10.322222222222223,39.03333333333333,112.56890419271619,201.4,201.4
1989-02-28,2.854810913253977,40.99024048619074,112.56890419271619,207.62563733184288,207.62563733184288
1989-03-31,-3.1861488449974296,42.72494582778082,112.56890419271619,213.09106614655374,213.09106614655374
1989-04-30,-6.80449025080023,43.971586373955155,112.56890419271619,216.95216937797218,216.95216937797218
1989-05-31,-8.241436064541269,44.813271494458675,112.56890419271619,219.46635390819284,219.46635390819284
1989-06-30,-7.404280104688876,45.195698923452454,112.56890419271619,220.47141428365302,220.47141428365302
1989-07-31,-4.237211973919559,45.14436382286941,112.56890419271619,220.03435452938356,220.03435452938356
1989-08-31,0.0209299541628963,44.83415547999217,112.56890419271619,218.6966149285911,218.6966149285911
1989-09-30,3.746825079182994,44.511323047273955,112.56890419271619,217.23239059026483,217.23239059026483
1989-10-31,7.185638015638174,44.15484841606849,112.56890419271619,215.5456155948291,215.5456155948291
1989-11-30,10.115509864402288,43.787729949679346,112.56890419271619,213.7451141355375,213.7451141355375
1989-12-31,12.73176541539295,43.3854930836806,112.56890419271619,211.71085278177085,211.71085278177085
1990-01-31,14.929999999999998,42.96000000000001,112.56890419271619,209.5,209.5
1990-02-28,16.55620426764419,42.55569445115512,112.56890419271619,207.35131661383085,207.35131661383085
1990-03-31,17.95885056139212,42.08593953382201,112.56890419271619,204.80437046908426,204.80437046908426
1990-04-30,18.918238562375027,41.609194984083544,112.56890419271619,202.1714453169113,202.1714453169113
1990-05-31,19.498327470658438,41.09367783195715,112.56890419271619,199.27701281383395,199.27701281383395
1990-06-30,19.66169219538536,40.57264724854776,112.56890419271619,196.3078105406957,196.3078105406957
1990-07-31,19.419223718204258,40.01136786162809,112.56890419271619,193.06589167928746,193.06589167928746
1990-08-31,18.99190588610249,39.531315121991284,112.56890419271619,189.78180147018955,189.78180147018955
1990-09-30,18.67010097881463,39.264054681945765,112.56890419271619,186.7178392278505,186.7178392278505
1990-10-31,18.43295819264975,39.19203931550229,112.56890419271619,183.6700883410526,183.6700883410526
1990-11-30,18.29577706219913,39.31991517533464,112.56890419271619,180.8351778992666,180.8351778992666
1990-12-31,18.249412178766068,39.65620731876496,112.56890419271619,178.02411387304,178.02411387304
1991-01-31,18.299999999999997,40.2,112.56890419271619,175.33333333333334,175.33333333333334
1991-02-28,18.42902514348177,40.8695187216844,112.56890419271619,173.00633713291717,173.00633713291717
1991-03-31,18.664135854243195,41.80823178132196,112.56890419271619,170.54448322884517,170.54448322884517
1991-04-30,18.98397423694707,42.91423192445853,112.56890419271619,168.27656986711645,168.27656986711645
1991-05-31,19.409862850440312,44.26125249396988,112.56890419271619,166.05140282361577,166.05140282361577
1991-06-30,19.914325009981436,45.762388936984316,112.56890419271619,164.01254126244004,164.01254126244004
1991-07-31,20.530991526206495,47.51771701636946,112.56890419271619,162.02406107951077,162.02406107951077
